Datum; Uhrzeit; Zaehler; kWh; Temperatur
2020-7-1;0:8:8;0;0.000000;16.875000
2020-7-1;0:16:18;50;0.100000;16.875000
2020-7-1;0:29:54;0;0.000000;16.625000
2020-7-1;0:51:40;0;0.000000;16.562000
2020-7-1;1:13:32;0;0.000000;16.437000
2020-7-1;1:35:21;0;0.000000;16.250000
2020-7-1;1:57:8;0;0.000000;16.187000
2020-7-1;2:18:56;0;0.000000;16.062000
2020-7-1;2:32:33;50;0.100000;16.062000
2020-7-1;2:40:43;0;0.000000;15.937000
2020-7-1;3:2:34;0;0.000000;15.875000
2020-7-1;3:24:27;0;0.000000;15.875000
2020-7-1;3:46:19;0;0.000000;15.812000
2020-7-1;4:6:26;50;0.100000;15.875000
2020-7-1;4:6:27;0;0.000000;15.875000
2020-7-1;4:11:36;50;0.100000;15.812000
2020-7-1;4:18:28;50;0.100000;15.812000
2020-7-1;4:25:20;50;0.100000;15.875000
2020-7-1;4:26:33;0;0.000000;15.875000
2020-7-1;4:32:4;50;0.100000;15.875000
2020-7-1;4:46:37;50;0.100000;15.812000
2020-7-1;4:46:38;0;0.000000;15.812000
2020-7-1;4:50:34;50;0.100000;15.812000
2020-7-1;4:52:46;50;0.100000;15.750000
2020-7-1;4:54:51;50;0.100000;15.687000
2020-7-1;4:56:51;50;0.100000;15.750000
2020-7-1;4:58:49;50;0.100000;15.750000
2020-7-1;5:0:42;50;0.100000;15.812000
2020-7-1;5:2:39;50;0.100000;15.687000
2020-7-1;5:4:49;50;0.100000;15.687000
2020-7-1;5:6:49;0;0.000000;15.750000
2020-7-1;5:7:18;50;0.100000;15.750000
2020-7-1;5:27:8;0;0.000000;15.875000
2020-7-1;5:47:34;0;0.000000;15.875000
2020-7-1;5:51:41;50;0.100000;15.875000
2020-7-1;6:8:11;0;0.000000;15.875000
2020-7-1;6:28:51;0;0.000000;16.250000
2020-7-1;6:43:20;50;0.100000;16.250000
2020-7-1;6:49:33;0;0.000000;16.375000
2020-7-1;7:10:18;0;0.000000;16.875000
2020-7-1;7:31:0;0;0.000000;17.187000
2020-7-1;7:38:44;50;0.100000;17.062000
2020-7-1;7:52:22;0;0.000000;17.437000
2020-7-1;8:14:12;0;0.000000;17.937000
2020-7-1;8:36:1;0;0.000000;18.500000
2020-7-1;8:57:51;0;0.000000;19.000000
2020-7-1;9:19:37;0;0.000000;19.312000
2020-7-1;9:41:37;0;0.000000;19.875000
2020-7-1;9:55:31;50;0.100000;20.312000
2020-7-1;10:3:50;0;0.000000;20.625000
2020-7-1;10:25:55;0;0.000000;20.937000
2020-7-1;10:48:0;0;0.000000;21.062000
2020-7-1;11:10:11;0;0.000000;22.000000
2020-7-1;11:32:14;0;0.000000;22.062000
2020-7-1;11:54:23;0;0.000000;21.875000
2020-7-1;12:14:1;50;0.100000;22.562000
2020-7-1;12:16:45;0;0.000000;22.687000
2020-7-1;12:38:50;0;0.000000;23.625000
2020-7-1;13:0:50;0;0.000000;24.062000
2020-7-1;13:22:31;0;0.000000;24.562000
2020-7-1;13:44:15;0;0.000000;25.187000
2020-7-1;14:6:0;0;0.000000;25.437000
2020-7-1;14:27:53;0;0.000000;26.437000
2020-7-1;14:30:37;50;0.100000;26.312000
2020-7-1;14:49:29;0;0.000000;26.500000
2020-7-1;14:54:22;50;0.100000;26.687000
2020-7-1;14:56:33;50;0.100000;26.875000
2020-7-1;14:58:31;50;0.100000;27.125000
2020-7-1;15:0:23;50;0.100000;27.250000
2020-7-1;15:2:9;50;0.100000;27.500000
2020-7-1;15:3:48;50;0.100000;27.562000
2020-7-1;15:5:22;50;0.100000;27.687000
2020-7-1;15:7:0;50;0.100000;27.625000
2020-7-1;15:9:50;0;0.000000;27.500000
2020-7-1;15:27:59;50;0.100000;27.562000
2020-7-1;15:30:44;0;0.000000;28.250000
2020-7-1;15:52:38;0;0.000000;26.875000
